sepal_length,sepal_width,petal_length,petal_width,species
5.5,2.6,4.4,1.2,Iris-versicolor
5.0,3.5,1.3,0.3,setosa
5.0,3.4,1.5,0.2,setosa
5.1,2.5,3.0,1.1,Iris-versicolor
5.6,2.5,3.9,1.1,Iris Versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
6.9,3.1,5.4,2.1,Iris-virginica
5.8,2.6,4.0,1.2,versicolor
5.0,3.3,1.4,0.2,setosa
5.7,4.4,1.5,0.4,setosa
5.7,2.8,4.5,1.3,versicolor
6.3,2.8,5.1,1.5,Iris-virginica
5.1,3.5,1.4,0.2,Iris-setosa
5.2,3.5,1.5,0.2,setosa
5.8,2.7,5.1,1.9,Virginica
4.9,3.1,1.5,0.1,setosa
5.5,3.5,1.3,0.2,setosa
5.1,3.5,1.4,0.2,setosa
6.1,2.8,4.7,1.2,Iris-versicolor
6.4,2.7,5.3,1.9,Virginica
5.1,3.7,1.5,0.4,Iris-setosa
6.5,3.0,5.8,2.2,Virginica
6.2,2.8,4.8,1.8,Iris-virginica
5.0,3.4,1.5,0.2,setosa
6.1,2.8,4.7,1.2,versicolor
7.6,3.0,6.6,2.1,Iris-virginica
6.7,3.1,4.4,1.4,versicolor
6.2,2.8,4.8,1.8,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
6.1,3.0,4.6,1.4,Iris-versicolor
6.3,3.4,5.6,2.4,virginica
6.5,3.2,5.1,2.0,Virginica
6.3,3.3,6.0,2.5,Iris-virginica
5.1,3.5,1.4,0.2,setosa
6.2,2.9,4.3,1.3,versicolor
6.0,2.2,5.0,1.5,Iris-virginica
6.1,2.6,5.6,1.4,virginica
6.1,3.0,4.6,1.4,Iris-versicolor
5.2,3.5,1.5,0.2,setosa
5.8,2.6,4.0,1.2,versicolor
5.8,2.7,5.1,1.9,Virginica
6.0,3.4,4.5,1.6,Iris-versicolor
4.9,3.0,1.4,0.2,setosa
6.5,3.2,5.1,2.0,Iris-virginica
4.9,3.0,1.4,0.2,setosa
5.8,4.0,1.2,0.2,setosa
5.8,2.6,4.0,1.2,versicolor
6.2,2.9,4.3,1.3,Versicolor
5.1,3.8,1.5,0.3,setosa
7.3,2.9,6.3,1.8,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
6.4,2.8,5.6,2.2,Virginica
5.8,2.8,5.1,2.4,Virginica
6.3,2.3,4.4,1.3,Iris-versicolor
6.1,2.8,4.7,1.2,versicolor
6.3,3.3,6.0,2.5,Iris-virginica
